,Average price of S&P 1-Jan,,,,,,,,,,
S&P 500 List,Start Date,price,,,,,,,,,
PPG UN Equity,12/2/91,11.625,,,,,,,,,
0376152D US Equity,12/2/91,16.75,,,,,,,,,
PEG UN Equity,12/2/91,13.875,,,,,,,,,
1618Q US Equity,12/2/91,24.5,,,,,,,,,
MEL UN Equity,12/2/91,5.5833,,,,,,,,,
RTN UN Equity,12/2/91,19.8438,,,,,,,,,
RDC UN Equity,12/2/91,5.375,,,,,,,,,
R UN Equity,12/2/91,15.137,,,,,,,,,
HSH UN Equity,12/2/91,24.7324,,,,,,,,,
PD UN Equity,12/2/91,16.375,,,,,,,,,
PGL UN Equity,12/2/91,26.875,,,,,,,,,
EIX UN Equity,12/2/91,23.375,,,,,,,,,
LUB UN Equity,12/2/91,16,,,,,,,,,
SLB UN Equity,12/2/91,13.9831,,,,,,,,,
SHOY US Equity,12/2/91,20.875,,,,,,,,,
SHW UN Equity,12/2/91,11.25,,,,,,,,,
BLS UN Equity,12/2/91,11.875,,,,,,,,,
SNA UN Equity,12/2/91,20.167,,,,,,,,,
CNW UN Equity,12/2/91,10.8387,,,,,,,,,
STJ US Equity,12/2/91,8,,,,,,,,,
YRCW UQ Equity,12/2/91,163511.4855,,,,,,,,,
SWK UN Equity,12/2/91,18.813,,,,,,,,,
GDW UN Equity,12/2/91,5.8333,,,,,,,,,
1086832D UN Equity,12/2/91,11.1798,,,,,,,,,
0544749D UN Equity,12/2/91,18.6191,,,,,,,,,
STI UN Equity,12/2/91,16.5625,,,,,,,,,
SVU UN Equity,12/2/91,92.75,,,,,,,,,
ANDW UQ Equity,12/2/91,2.8889,,,,,,,,,
SYY UN Equity,12/2/91,5.2188,,,,,,,,,
CVGYQ US Equity,12/2/91,18.75,,,,,,,,,
0964591D UQ Equity,12/2/91,10.5556,,,,,,,,,
CAL UN Equity,12/2/91,11.7778,,,,,,,,,
TXT UN Equity,12/2/91,9.1563,,,,,,,,,
SAF UQ Equity,12/2/91,21.3125,,,,,,,,,
KRI UN Equity,12/2/91,22.4375,,,,,,,,,
2999130Q UN Equity,12/2/91,8.6667,,,,,,,,,
TJX UN Equity,12/2/91,0.9453,,,,,,,,,
