,Average price of S&P 1-Jan,
S&P 500 List,Start Date,price
ADCT UQ Equity,12/3/01,29.33
AMAT UQ Equity,12/3/01,19.635
BBBY UQ Equity,12/3/01,32.4
CINF UQ Equity,12/3/01,35.1111
EA UQ Equity,12/3/01,30.03
FISV UQ Equity,12/3/01,19.4
FITB UQ Equity,12/3/01,59.26
HBAN UQ Equity,12/3/01,16.07
LLTC UQ Equity,12/3/01,38.76
MXIM UQ Equity,12/3/01,53.27
NTRS UQ Equity,12/3/01,56.85
1280712D UQ Equity,12/3/01,37.46
PAYX UQ Equity,12/3/01,34.84
PTC UQ Equity,12/3/01,20.85
QCOM UQ Equity,12/3/01,28.64
SBUX UQ Equity,12/3/01,4.62
PMCS UQ Equity,12/3/01,21.88
SPLS UQ Equity,12/3/01,11.56
TLAB UQ Equity,12/3/01,14.86
TROW UQ Equity,12/3/01,15.53
XLNX UQ Equity,12/3/01,34.88
ZION UQ Equity,12/3/01,48
1519128D UQ Equity,12/3/01,11.1683
INTU UQ Equity,12/3/01,21.66
SANM UQ Equity,12/3/01,122.94
VIAV UQ Equity,12/3/01,43.9366
QLGC UQ Equity,12/3/01,24.165
APOL UQ Equity,12/3/01,29.7133
NTAP UQ Equity,12/3/01,15.92
CTXS UQ Equity,12/3/01,18.036
MWW UQ Equity,12/3/01,37.8248
CIEN UQ Equity,12/3/01,119.42
BRCM UQ Equity,12/3/01,28.4333
NVDA UQ Equity,12/3/01,17.9367
EBAY UQ Equity,12/3/01,7.0571
AMCC UQ Equity,12/3/01,51
1288652D US Equity,12/3/01,44.26
VSTNQ UN Equity,12/3/01,13.85
NBR UA Equity,12/3/01,15.475
PWER UQ Equity,12/3/01,9.61
CR UN Equity,12/3/01,23.56
DLX UN Equity,12/3/01,39.8
WOR UN Equity,12/3/01,15.2
502466Q US Equity,12/3/01,59.675
DVN UA Equity,12/3/01,17.475
TNB UN Equity,12/3/01,20.3
0948669D UN Equity,12/3/01,12.85
TUP UN Equity,12/3/01,19.67
MDR UN Equity,12/3/01,2.013
EHC UN Equity,12/3/01,73.55
AAMRQ UN Equity,12/3/01,20.94
DPS UN Equity,#N/A N/A,
XRX UN Equity,12/3/01,22.1569
HBI UN Equity,#N/A N/A,
ALB UN Equity,12/3/01,11
EL UN Equity,12/3/01,16.505
